date,price
20060509,375.5
20060518,418.5
20060530,412
20060608,383.5
20060619,358.5
20060628,372
20060710,382.5
20060719,393
20060728,388.5
20060808,384
20060817,363.5
20060828,384.75
20060907,403.5
20060918,395.5
20060927,424.25
20061006,464
20061017,531
20061026,507.5
20061106,498
20061115,481.5
20061127,490.25
20061206,475
20061215,494.25
20061227,507
20070108,464
20070118,471
20070129,456.5
20070207,452
20070216,468
20070228,474.5
20070309,469
20070320,462.75
20070329,461
20070410,457.75
20070419,496
20070430,485.5
20070509,471
20070518,471.25
20070530,510.75
20070608,527.5
20070619,581
20070628,609
20070710,592
20070719,620
20070730,637.5
20070808,679
20070817,672
20070828,720.5
20070907,840
20070918,869
20070927,933
20071008,860
20071017,820.5
20071026,800
20071107,787.75
20071116,749.5
20071128,859
20071207,903.5
20071218,952
20071228,885
20080109,889.5
20080118,962.5
20080130,922.5
20080208,1093
20080220,1020
20080229,1073
20080312,1270
20080324,1020
20080402,936.5
20080411,896.5
20080422,851.75
20080502,796
20080513,785.5
20080522,745
20080603,750.5
20080612,851
20080623,866.25
20080702,865.25
20080714,810
20080723,783.25
20080801,794
20080812,790.25
20080821,897.25
20080902,744.25
20080911,707.25
20080922,737.75
20081001,669.75
20081010,563.5
20081021,549
20081030,538
20081110,520
20081119,527
20081201,509.75
20081210,492.5
20081219,563.25
20081231,610.75
20090112,569.5
20090122,566.75
20090202,563.75
20090211,543.25
20090223,510.5
20090304,511.75
20090313,506.5
20090324,535
20090402,550.5
20090414,522.25
20090423,529.25
20090504,538.5
20090513,578.75
20090522,612.5
20090603,617.5
20090612,584.75
20090623,546.75
20090702,500.25
20090714,501.75
20090723,531.75
20090803,549.25
20090812,490.25
20090821,460.25
20090901,459.25
20090911,441.75
20090922,455.75
20091001,452.75
20091012,494.25
20091021,542.5
20091030,494.25
20091110,523
20091119,562.5
20091201,562.5
20091210,517.75
20091221,519.5
20091231,541.5
20100112,535.75
20100122,498.5
20100202,487.25
20100211,493.5
20100223,491.75
20100304,490.5
20100315,479.25
20100324,476
20100405,453.5
20100414,474.75
20100423,493.25
20100504,499.75
20100513,471
20100524,467.5
20100603,441.75
20100614,451.5
20100623,462.25
20100702,487.75
20100714,548.25
20100723,596.25
20100803,680
20100812,713
20100823,692.25
20100901,675.5
20100913,713.75
20100922,719.75
20101001,655
20101012,710
20101021,668.75
20101101,702.5
20101110,710
20101119,644.5
20101201,697.5
20101210,735.5
20101221,765
20101231,794.25
20110111,759.5
20110121,824.5
20110201,835.75
20110210,862.75
20110222,762.25
20110303,790.5
20110314,700.5
20110323,714.25
20110401,759.5
20110412,759.5
20110421,799.5
20110503,760.75
20110512,700.5
20110523,803
20110602,769.75
20110613,743
20110622,638.25
20110701,584.5
20110713,702
20110722,692.25
